"Zone_Number","Status_Description","KerbsideID","latitude","longitude","year","month","day","hour","timeminute","second","wday","is_weekend","RoadSegmentID","RoadSegmentDescription","OnStreet","StreetFrom","StreetTo","status"
7610,"Present","54516",-37.8123412263886,144.959608302355,2025,8,9,0,10,55,"Sat",TRUE,20176,"Queen Street between Lonsdale Street and Little Lonsdale Street","Queen Street","Lonsdale Street","Little Lonsdale Street",1
7355,"Unoccupied","62214",-37.8170877786139,144.960774142219,2025,8,9,0,10,51,"Sat",TRUE,20116,"Collins Street between Queen Street and Market Street","Collins Street","Queen Street","Market Street",0
7697,"Unoccupied","53919",-37.8181217992318,144.962258461276,2025,8,9,0,10,51,"Sat",TRUE,20170,"Queen Street between Flinders Street and Flinders Lane","Queen Street","Flinders Street","Flinders Lane",0
7554,"Present","65477",-37.8123934457209,144.961540718547,2025,8,9,0,10,50,"Sat",TRUE,20009,"Lonsdale Street between Elizabeth Street and Queen Street","Lonsdale Street","Elizabeth Street","Queen Street",1
7220,"Unoccupied","14990",-37.8130555468626,144.936713802041,2025,8,9,0,10,49,"Sat",TRUE,23224,"Pearl River Road between Footscray Road and Docklands Drive","Pearl River Road","Footscray Road","Docklands Drive",0
7389,"Unoccupied","53213",-37.8127514209951,144.962577143138,2025,8,9,0,10,48,"Sat",TRUE,20167,"Elizabeth Street between Little Bourke Street and Lonsdale Street","Elizabeth Street","Little Bourke Street","Lonsdale Street",0
7554,"Unoccupied","65478",-37.8124120622123,144.961476800054,2025,8,9,0,10,48,"Sat",TRUE,20009,"Lonsdale Street between Elizabeth Street and Queen Street","Lonsdale Street","Elizabeth Street","Queen Street",0
7686,"Unoccupied","57924",-37.8196124299791,144.95453219491,2025,8,9,0,10,48,"Sat",TRUE,20069,"Spencer Street between Flinders Lane and Collins Street","Spencer Street","Flinders Lane","Collins Street",0
7645,"Unoccupied","50211",-37.8127051938564,144.973785820315,2025,8,9,0,10,47,"Sat",TRUE,20200,"Spring Street between Collins Street and Little Collins Street","Spring Street","Collins Street","Little Collins Street",0
7697,"Unoccupied","53918",-37.818175142634,144.962282915737,2025,8,9,0,10,47,"Sat",TRUE,20170,"Queen Street between Flinders Street and Flinders Lane","Queen Street","Flinders Street","Flinders Lane",0
7780,"Unoccupied","65488",-37.8128415146643,144.960677929992,2025,8,9,0,10,46,"Sat",TRUE,20009,"Lonsdale Street between Elizabeth Street and Queen Street","Lonsdale Street","Elizabeth Street","Queen Street",0
7362,"Present","62343",-37.8179449134091,144.958361547918,2025,8,9,0,10,44,"Sat",TRUE,20118,"Collins Street between William Street and King Street","Collins Street","William Street","King Street",1
7552,"Unoccupied","66438",-37.8129535165481,144.956204925747,2025,8,9,0,10,44,"Sat",TRUE,20046,"Little Lonsdale Street between William Street and King Street","Little Lonsdale Street","William Street","King Street",0
7345,"Present","63626",-37.8131724230895,144.966668454504,2025,8,9,0,10,44,"Sat",TRUE,20080,"Bourke Street between Russell Street and Swanston Street","Bourke Street","Russell Street","Swanston Street",1
7676,"Unoccupied","54421",-37.8132705558468,144.960031828964,2025,8,9,0,10,43,"Sat",TRUE,20175,"Queen Street between Little Bourke Street and Lonsdale Street","Queen Street","Little Bourke Street","Lonsdale Street",0
7505,"Unoccupied","64465",-37.8123963860078,144.965764032555,2025,8,9,0,10,43,"Sat",TRUE,20053,"Little Bourke Street between Russell Street and Swanston Street","Little Bourke Street","Russell Street","Swanston Street",0
7569,"Unoccupied","65244",-37.8111245088489,144.96652963017,2025,8,9,0,10,42,"Sat",TRUE,20005,"Lonsdale Street between Russell Street and Swanston Street","Lonsdale Street","Russell Street","Swanston Street",0
7592,"Unoccupied","53941",-37.8180519240713,144.962101441262,2025,8,9,0,10,41,"Sat",TRUE,20170,"Queen Street between Flinders Street and Flinders Lane","Queen Street","Flinders Street","Flinders Lane",0
7190,"Unoccupied","62029",-37.8159758966993,144.964612175471,2025,8,9,0,10,40,"Sat",TRUE,20112,"Collins Street between Swanston Street and Elizabeth Street","Collins Street","Swanston Street","Elizabeth Street",0
7570,"Present","65049",-37.8096673324358,144.971188926465,2025,8,9,0,10,37,"Sat",TRUE,20001,"Lonsdale Street between Spring Street and Exhibition Street","Lonsdale Street","Spring Street","Exhibition Street",1
7551,"Unoccupied","65458",-37.8127286524236,144.960683699873,2025,8,9,0,10,34,"Sat",TRUE,20009,"Lonsdale Street between Elizabeth Street and Queen Street","Lonsdale Street","Elizabeth Street","Queen Street",0
7579,"Present","63431",-37.8116712533842,144.972247890185,2025,8,9,0,10,30,"Sat",TRUE,20065,"Bourke Street between Spring Street and Exhibition Street","Bourke Street","Spring Street","Exhibition Street",1
7645,"Present","50215",-37.8124976253941,144.973691441,2025,8,9,0,10,29,"Sat",TRUE,20200,"Spring Street between Collins Street and Little Collins Street","Spring Street","Collins Street","Little Collins Street",1
7350,"Unoccupied","56525",-37.8166619262372,144.957321894043,2025,8,9,0,10,26,"Sat",TRUE,20416,"Church Street between Bourke Street and Little Collins Street","Church Street","Bourke Street","Little Collins Street",0
